global_id,Name,BalanceHolder,AdmArea,District,Address,lon,lat
2795042196,"Станция №36, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Басманный район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Малый Трёхсвятительский переулок, дом 3, строение 6",37.6468464,55.7543968
2795042199,"Станция №37, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Климашкина, дом 17",37.5683832,55.7678365
2795042208,"Станция №41, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Таганский район,"город Москва, улица Александра Солженицына, дом 23А, строение 1",37.6632673,55.7442654
2795042210,"Станция №43, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Южный административный округ,Донской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, улица Стасовой, дом 4",37.593809,55.7142675
2795042212,"Станция №44, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Южный административный округ,Донской район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, улица Стасовой, дом 4",37.593741,55.7142799
2795042216,"Станция №47, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Мещанский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, Большая Переяславская улица, дом 17",37.640051,55.7882656
2795042222,"Станция №51, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Западный административный округ,район Дорогомилово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, набережная Тараса Шевченко, дом 9",37.5614657,55.7522811
2795042223,"Станция №52, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Южный административный округ,Даниловский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, 1-й Кожуховский проезд, дом 1/7",37.6585144,55.7044607
2795042225,"Станция №53, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Южный административный округ,Даниловский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Восточная улица, дом 11, корпус 1",37.6588845,55.7130336
2795042226,"Станция №54, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Климашкина, дом 17",37.5683135,55.7678297
2795042228,"Станция №55, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Красносельский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Докучаев переулок, дом 3, строение 1",37.6423832,55.7744442
2795042229,"Станция №56, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Красносельский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Докучаев переулок, дом 3, строение 1",37.6424637,55.7744245
2795042233,"Станция №58, 44 кВт",Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,Центральный административный округ,Пресненский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, улица Николаева, дом 1",37.5682692,55.7556774
